ano,semestre,uf,pop_alfabetizada,pop_nao_alfabetizada,populacao_total,taxa_analfabetismo,variacao_taxa,indice_vulnerabilidade,latitude,longitude
2024,2,AC,139520,15490,155010,9.9929,-3.3849,26.9174,-8.77,-70.55
2024,2,PE,1728362,242972,1971334,12.3253,-2.5616,25.1333,-8.38,-37.86
2024,2,SE,364216,51377,415593,12.3623,-2.4167,24.4458,-10.57,-37.45
2024,2,MA,1260109,203078,1463187,13.8792,-1.3311,20.5347,-5.42,-45.44
2024,2,PI,519628,113761,633389,17.9607,0.14,17.2607,-6.6,-42.28
2024,2,PB,700613,131760,832373,15.8294,0.1783,14.9379,-7.28,-36.72
2024,2,RO,297573,19424,316997,6.1275,-1.663,14.4425,-10.83,-63.34
2024,2,CE,1419566,236716,1656282,14.292,0.1299,13.6425,-5.2,-39.53
2024,2,AL,563979,122469,686448,17.841,0.8677,13.5025,-9.62,-36.82
2024,2,MS,496902,26596,523498,5.0804,-1.6016,13.0884,-20.51,-54.54
2024,2,RN,579341,89381,668722,13.3659,0.0681,13.0254,-5.81,-36.59
2024,2,TO,289124,28294,317418,8.9138,-0.3723,10.7753,-9.46,-48.26
2024,2,BA,2413162,366661,2779823,13.1901,0.5451,10.4646,-13.29,-41.71
2024,2,MT,647633,38432,686065,5.6018,-0.9,10.1018,-12.64,-55.42
2024,2,PA,1527426,133817,1661243,8.0552,-0.1523,8.8167,-3.79,-52.48
2024,2,ES,775105,43955,819060,5.3665,-0.2279,6.506,-19.19,-40.34
2024,2,AP,158732,10764,169496,6.3506,-0.0307,6.5041,1.41,-51.77
2024,2,MG,4064344,249420,4313764,5.782,-0.062,6.092,-18.1,-44.38
2024,2,RR,93416,8000,101416,7.8883,0.3733,6.0218,1.99,-61.33
2024,2,RJ,3010580,94327,3104907,3.038,-0.3441,4.7585,-22.25,-42.66
2024,2,RS,2361352,73258,2434610,3.009,-0.2629,4.3235,-30.17,-53.5
2024,2,SC,1524656,39250,1563906,2.5097,-0.0531,2.7752,-27.45,-50.95
2024,2,PR,2160580,102840,2263420,4.5436,0.4431,2.3281,-24.89,-51.55
2024,2,GO,1248394,78846,1327240,5.9406,0.9365,1.2581,-15.98,-49.86
2024,2,SP,8758238,307881,9066119,3.396,0.5333,0.7295,-22.19,-48.79
2024,2,AM,551897,46886,598783,7.8302,1.7596,-0.9678,-3.47,-65.1
2024,2,DF,675612,21454,697066,3.0778,1.0892,-2.3682,-15.83,-47.86
